route_id,trip_id,service_id
upward,15351,weekday
upward,15352,weekday
upward,15353,weekday
upward,15354,weekday
upward,15355,weekday
upward,15356,weekday
upward,15357,weekday
upward,15358,weekday
upward,15359,weekday
upward,15360,weekday
upward,15361,weekday
upward,15362,weekday
upward,15363,weekday
upward,15364,weekday
upward,15365,weekday
upward,15366,weekday
upward,15367,weekday
upward,15368,weekday
upward,15369,weekday
upward,15370,weekday
upward,15371,weekday
upward,15372,weekday
upward,15373,weekday
upward,15374,weekday
upward,15375,weekday
upward,15376,weekday
upward,15377,weekday
upward,15378,weekday
upward,15379,weekday
upward,15380,weekday
upward,15381,weekday
upward,15382,weekday
upward,15383,weekday
upward,15384,weekday
upward,15385,weekday
upward,15386,weekday
upward,15387,weekday
upward,15388,weekday
upward,15389,weekday
upward,15390,weekday
upward,15391,weekday
upward,15392,weekday
upward,15393,weekday
upward,15394,weekday
upward,15395,weekday
upward,15396,weekday
upward,15397,weekday
upward,15398,weekday
upward,15399,weekday
upward,15400,weekday
upward,15401,weekday
upward,15402,weekday
upward,15403,weekday
upward,15404,weekday
upward,15405,weekday
upward,15406,weekday
upward,15407,weekday
upward,15408,weekday
upward,15409,weekday
upward,15410,weekday
upward,15411,weekday
upward,15412,weekday
upward,15413,weekday
upward,15414,weekday
upward,15415,weekday
upward,15416,weekday
upward,15417,weekday
upward,15418,weekday
upward,15419,weekday
upward,15420,weekday
upward,15421,weekday
upward,15422,weekday
upward,15423,weekday
upward,15424,weekday
upward,15425,weekday
upward,15426,weekday
upward,15427,weekday
upward,15428,weekday
upward,15429,weekday
upward,15430,weekday
upward,15431,weekday
upward,15432,weekday
upward,15433,weekday
upward,15434,weekday
upward,15435,weekday
upward,15436,weekday
upward,15437,weekday
upward,15438,weekday
upward,15439,weekday
upward,15440,weekday
upward,15441,weekday
upward,15442,weekday
upward,15443,weekday
upward,15444,weekday
upward,15445,weekday
upward,15446,weekday
upward,15447,weekday
upward,15448,weekday
upward,15449,weekday
upward,15450,weekday
upward,15451,weekday
upward,15452,weekday
upward,15453,weekday
upward,15454,weekday
upward,15455,weekday
upward,15456,weekday
upward,15457,weekday
upward,15458,weekday
upward,15459,weekday
upward,15460,weekday
upward,15461,weekday
upward,15462,weekday
upward,15463,weekday
upward,15464,weekday
upward,15465,weekday
upward,15466,weekday
upward,15467,weekday
upward,15468,weekday
upward,15469,weekday
upward,15470,weekday
upward,15471,weekday
upward,15472,weekday
upward,15473,weekday
upward,15474,weekday
upward,15475,weekday
upward,15476,weekday
upward,15477,weekday
upward,15478,weekday
upward,15479,weekday
upward,15480,weekday
upward,15481,weekday
upward,15482,weekday
upward,15483,weekday
upward,15484,weekday
upward,15485,weekday
upward,15486,weekday
upward,15487,weekday
upward,15488,weekday
upward,15489,weekday
upward,15490,weekday
upward,15491,weekday
upward,15492,weekday
upward,15493,weekday
upward,15494,weekday
upward,15495,weekday
upward,15496,weekday
upward,15497,weekday
upward,15498,weekday
upward,15499,weekday
upward,15500,weekday
upward,15501,weekday
upward,15502,weekday
upward,15503,weekday
upward,15504,weekday
upward,15505,weekday
upward,15506,weekday
upward,15507,weekday
upward,15508,weekday
upward,15509,weekday
upward,15510,weekday
upward,15511,weekday
upward,15512,weekday
upward,15513,weekday
upward,15514,weekday
upward,15515,weekday
upward,15516,weekday
upward,15517,weekday
upward,15518,weekday
upward,15519,weekday
upward,15520,weekday
upward,15521,weekday
upward,15522,weekday
upward,15523,weekday
upward,15524,weekday
upward,15525,weekday
